Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;;VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;41;&;1562;&;-;&;0,003;&;1557;&;-;&;0,055;&;1542;&;-;&;0,115;&;1529;&;-;&;0,219;\\ \hline;41;&;1412;&;-;&;2138;&;10,982;&;0;&;1207299;&;3671,79;&;846485;&;3611,51;&;1219554;&;3631,16;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;42;&;1487;&;-;&;0,003;&;1482;&;-;&;0,06;&;1477;&;-;&;0,133;&;1465;&;-;&;0,262;\\ \hline;42;&;1350;&;-;&;5148;&;38,674;&;0;&;1759894;&;4088,15;&;1687911;&;3630,61;&;1850181;&;4065,63;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;43;&;2897;&;-;&;0,003;&;2885;&;-;&;0,056;&;2860;&;-;&;0,12;&;2837;&;-;&;0,225;\\ \hline;43;&;2598;&;-;&;1284;&;4,923;&;0;&;1320005;&;3694,15;&;1320005;&;3672,38;&;1320005;&;3660,03;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;44;&;3110;&;-;&;0,003;&;3094;&;-;&;0,068;&;3076;&;-;&;0,121;&;3058;&;-;&;0,224;\\ \hline;44;&;2808;&;-;&;1116;&;5,182;&;0;&;1450961;&;3738,81;&;1450961;&;3626,02;&;1450961;&;3660,26;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;45;&;2153;&;-;&;0,003;&;2151;&;-;&;0,078;&;2150;&;-;&;0,172;&;2147;&;-;&;0,343;\\ \hline;45;&;2060;&;-;&;869;&;7,894;&;0;&;1626287;&;3715,09;&;1484155;&;3660,78;&;1484155;&;3639,51;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;46;&;2482;&;-;&;0,003;&;2475;&;-;&;0,027;&;2460;&;-;&;0,057;&;2459;&;-;&;0,098;\\ \hline;46;&;2353;&;-;&;53759;&;1604,02;&;0;&;1550660;&;3638,91;&;1637832;&;3642,65;&;1637832;&;3782,43;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;47;&;2583;&;-;&;0,003;&;2564;&;-;&;0,117;&;2552;&;-;&;0,192;&;2543;&;-;&;0,36;\\ \hline;47;&;2500;&;-;&;696;&;4,255;&;0;&;1817157;&;3624,48;&;2510242;&;4460,81;&;2510242;&;4507,72;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;48;&;3246;&;-;&;0,003;&;3243;&;-;&;0,11;&;3229;&;-;&;0,252;&;3213;&;-;&;0,495;\\ \hline;48;&;3053;&;-;&;1258;&;11,845;&;0;&;1468315;&;3853,5;&;1468854;&;3727,84;&;1468854;&;4227,1;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;49;&;4750;&;-;&;0,003;&;4750;&;-;&;0,071;&;4749;&;-;&;0,144;&;4740;&;-;&;0,28;\\ \hline;49;&;4390;&;-;&;1070;&;8,651;&;0;&;1764386;&;4155,38;&;1764386;&;4127,95;&;1861070;&;3726,37;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;50;&;3654;&;-;&;0,003;&;3642;&;-;&;0,13;&;3632;&;-;&;0,307;&;3621;&;-;&;0,597;\\ \hline;50;&;3496;&;-;&;1207;&;17,69;&;0;&;1122956;&;3845,23;&;1166419;&;3758,72;&;1166419;&;3723,97;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;;;1576,5;;20,315;;0,007066667;;1563,533333;;12,658125;;0,032033333;;1548,833333;;6,913125;;0,066366667;;1538,4;;4,2625;;0,1268;0;35,5;0;1459,5;0;0,479333333;0;2449,133333;0;57,3302;0;184,6;0;799762,7333;0;2166,2882;0;962697,3333;0;2646,547033;0;1033360,2;0;2684,891767;0
